Fuel,2025,2024,2023,2022,RTO Office
PETROL(E20)/CNG,116,0,0,0,ICHALKARANJI_-_MH51
PETROL(E20)/HYBRID,8,0,0,0,ICHALKARANJI_-_MH51
PETROL/ETHANOL,4792,746,404,0,ICHALKARANJI_-_MH51
PETROL/HYBRID,70,121,198,130,ICHALKARANJI_-_MH51
PETROL/LPG,0,0,10,31,ICHALKARANJI_-_MH51
PURE EV,3964,1499,0,0,ICHALKARANJI_-_MH51
STRONG HYBRID EV,78,54,0,0,ICHALKARANJI_-_MH51
CNG ONLY,48,50,8,15,JALANA-MH21
DIESEL,7436,5387,4919,5651,JALANA-MH21
DIESEL/HYBRID,4,3,0,0,JALANA-MH21
ELECTRIC(BOV),286,1443,1510,1173,JALANA-MH21
LPG ONLY,374,393,384,121,JALANA-MH21
NOT APPLICABLE,633,428,490,611,JALANA-MH21
PETROL,24158,28938,24760,24629,JALANA-MH21
PETROL/CNG,917,697,365,295,JALANA-MH21
PETROL(E20)/CNG,88,0,0,0,JALANA-MH21
PETROL(E20)/HYBRID,9,0,0,0,JALANA-MH21
PETROL/ETHANOL,7017,594,288,0,JALANA-MH21
PETROL/HYBRID,56,97,126,84,JALANA-MH21
PETROL/LPG,1,2,8,17,JALANA-MH21
PURE EV,2874,1289,0,0,JALANA-MH21
STRONG HYBRID EV,41,27,0,0,JALANA-MH21
CNG ONLY,5143,4870,3493,3044,KALYAN_-_MH5
DIESEL,5801,4773,4669,3889,KALYAN_-_MH5
DIESEL/HYBRID,19,11,8,2,KALYAN_-_MH5
ELECTRIC(BOV),586,2704,3454,3321,KALYAN_-_MH5
ETHANOL,20,5,0,0,KALYAN_-_MH5
NOT APPLICABLE,1,9,0,0,KALYAN_-_MH5
PETROL,53267,63353,57805,57730,KALYAN_-_MH5
PETROL/CNG,9387,8916,7619,7847,KALYAN_-_MH5
PETROL(E20)/CNG,1180,1,0,0,KALYAN_-_MH5
PETROL(E20)/HYBRID,99,0,0,0,KALYAN_-_MH5
PETROL/ETHANOL,22623,2476,1251,0,KALYAN_-_MH5
PETROL/HYBRID,574,835,1209,656,KALYAN_-_MH5
PURE EV,2999,1110,0,0,KALYAN_-_MH5
STRONG HYBRID EV,488,243,0,0,KALYAN_-_MH5
CNG ONLY,406,402,206,127,KARAD_-_MH50
DIESEL,2229,1675,1680,1707,KARAD_-_MH50
DIESEL/HYBRID,3,1,2,1,KARAD_-_MH50
ELECTRIC(BOV),170,980,1152,1018,KARAD_-_MH50
LPG ONLY,9,16,29,49,KARAD_-_MH50
NOT APPLICABLE,268,167,171,177,KARAD_-_MH50
PETROL,11008,11767,10953,10119,KARAD_-_MH50
PETROL/CNG,1096,830,599,437,KARAD_-_MH50
PETROL(E20)/CNG,107,0,0,0,KARAD_-_MH50
PETROL(E20)/HYBRID,5,0,0,0,KARAD_-_MH50
PETROL/ETHANOL,3213,360,189,0,KARAD_-_MH50
PETROL/HYBRID,31,56,93,49,KARAD_-_MH50
PETROL/LPG,0,0,1,5,KARAD_-_MH50
PURE EV,1300,528,0,0,KARAD_-_MH50
STRONG HYBRID EV,46,16,0,0,KARAD_-_MH50
CNG ONLY,1,5,0,0,KHAMGAON_-_MH56
DIESEL,3055,1867,1762,1710,KHAMGAON_-_MH56
DIESEL/HYBRID,2,0,0,0,KHAMGAON_-_MH56
